nid,tnid,type,title,field_heading,body,field_featured_article,field_category,field_global_taxonomy,field_headline,language,fid,filename,field_image,field_image_alt,field_image_title,field_sub_headline,user_id,author,created,field_weight,alias_path,promote,status,sticky,field_hero_agent_toggle,field_hero_contact_toggle,field_hero_contact_toggle_es,field_hero_modal_toggle,shamrock_user,landing_page_categories,admin_description
320,0,Landing Page,Thank You For Your Interest in Our Fuel Savings Guide,Thank You For Your Interest in Our Fuel Savings Guide,"<style>
<!--/*--><![CDATA[/* ><!--*/

body.page-node-320 { padding: 5vh 0 40vh 0 !important; }

/*--><!]]>*/
</style>

<p class=""lg-sans"">This free guide from RTS Carrier Services provides sound strategies and tactics for substantial fuel savings. Click the link below to view our Fuel Savings Guide.</p>

<div class=""btn blue-solid margin-bottom-40"">
  <a id=""factoringGuideLink"" href=""http://www.rtsfinancial.com/sites/default/files/RTS%20Carrier%20Services%20Fuel%20Savings%20Guide%20-%20Web.pdf"">Click Here to View The Guide</a>
</div>

",,,,,English,,,,,,,1,admin,1503686576,,/lp/fuel-savings-guide-download,1,1,0,,,,,,,
349,0,Landing Page,Factoring Services for Companies in Latin America,Factoring Services for Companies in Latin America,"<p>Stop waiting 30 to 60 days for payments from customers. Turn your invoices into immediate cash by factoring with RTS Financial.</p>

<h2>Benefits of Working with RTS Financial</h2>
<ul>
<li>Funding on receivables within 24 hours</li>
<li>Competitive advance rates</li>
<li>Multilingual team fluent in 25 languages, serving clients in 40 countries</li>
<li>More than 25 years of factoring experience</li>
<li>Free collections support and other back-office services</li>
<li>Dedicated representative to assist with all aspects of your account</li>
<li>Scalable funding that grows with your company</li>
</ul>

<h2>Factoring Solutions for Any Industry</h2>

<p>RTS Financial provides funding expertise for a wide variety of industries around the world, including the following:</p>

<ul>
<li>Agriculture</li>
<li>Seafood</li>
<li>Textiles and apparel</li>
<li>Manufacturing</li>
</ul>",,,,,English,,,,,,We've been helping Latin American companies grow their working capital since 1995.,1,admin,1522849659,,/lp/factoring-services-companies-latin-america,1,1,0,,,,,,,For English speakers in Latin America
366,0,Landing Page,"How Smart Truckers Get Paid Faster, Cut Costs and Manage Operations","How Smart Truckers Get Paid Faster, Cut Costs and Manage Operations","<p class=""margin-top-0"">With RTS, you can use factoring funds to load your fuel card or pay down your credit line. You can also upload invoices, find fuel prices, and more with the RTS Pro mobile app.</p>

<h2>Our Fuel Card Program</h2>

<p>In addition to substantial savings at Pilot Flying J travel centers, our exclusive RTS Plus network includes discounts at hundreds of fuel stops like Sapp Bros., Casey's and more.</p>

<ul>
	<li><strong>Average savings</strong> of 25¢ per gallon at 2,000 fuel stations.</li>
	<li><strong>Credit lines</strong> of as much as $2,500 per truck, per week.</li>
	<li><strong>Use RTS Pro</strong> to find the lowest fuel prices along your route.</li>
	<li><strong>Use factoring funds</strong> to load your fuel card.</li>
	<li><strong>Free access</strong> to our broker credit report tool.</li>
</ul>

<h2>Factoring Services</h2>

<p>Our approach is simple. We offer great rates, outstanding service and no tricks. We believe in a transparent, easy-to-understand pricing structure.</p>

<ul>
	<li><strong>Same-day funding</strong> with competitive advance rates.</li>
	<li><strong>No lien filed</strong> during the application process.</li>
	<li><strong>No hidden fees</strong> including no ACH fees or invoice-uploading fees.</li>
	<li><strong>Use RTS Pro</strong> to easily upload invoices on your smartphone.</li>
</ul>

<p>Setting up an account with RTS is quick and easy. Contact us today to learn more!</p>
",,,,,English,,,,,,"We offer an easy-to-use solution that integrates fuel savings, invoice factoring and fleet management. Sign up today to join more than 40,000 carriers using our fuel card and factoring services.",27,dhacker,1527000018,,/lp/factoring-fuel-card,0,1,0,,,,,,,
392,0,Landing Page,Same-Day Factoring Services for Trucking Companies,Same-Day Factoring Services for Trucking Companies,"<h2>Why Truckers Love Our Factoring Services</h2>
<p>Our approach is simple. We offer great rates, outstanding service and no tricks. We believe in a transparent, easy-to-understand pricing structure</p>
<ul>
<li><strong>Same-day funding</strong> and competitive advance rates</li>
<li><strong>No lien filed</strong> during the application process.</li>
<li><strong>No fees</strong> for falling below a certain factoring volume.</li>
<li><strong>Online account access</strong> and our mobile app make uploading invoices easy.</li>
</ul>

<h2 style="""">Our Fuel Card Program</h2>
<p>We offer industry-leading savings at more than 2,000 fuel stations.</p>

<ul>
	<li><strong>Average savings</strong> of 25¢ per gallon</li>
	<li><strong>Credit lines</strong> of as much as $2,500 per truck, per week</li>
	<li><strong>CarrierPro mobile app</strong> to find the best prices in our network</li>
	<li><strong>Flexible payment terms</strong> for small fleets</li>
	<li><strong>PlusCheks</strong> you can cash at locations throughout our network</li>
</ul>
",,,,,English,,,,,,"Our factoring services feature same-day funding, competitive advance rates and a fuel card with average savings of 25¢ per gallon.",28,wjorgensen,1547157539,,/lp/factoring-trucking-display,1,1,0,,,,,Webster,,Uses longer webform with captcha for display campaigns
448,0,Landing Page,Doing Invoice Factoring the Right Way Since 1995,Doing Invoice Factoring the Right Way Since 1995,"<h2 class=""display3"">Why RTS Offers a Better Factoring Experience</h2>

<div class=""view view-factoring-features-service view-id-factoring_features_service view-display-id-default features-list-1 view-dom-id-d65888556a9144f1c735eec30360cc29 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/factoring_features_service/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Upload Invoices Online</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">An easy-to-use mobile and web app lets you upload invoices and manage your account online.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Cargar facturas en línea</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Aplicación móvil o web fácil de utilizar para cargar facturas y gestionar su cuenta en línea.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Lien Filed Later</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Some factoring companies file a lien early in the application process, limiting your options.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No se llena ningún gravamen durante la solicitud </h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Algunas empresas de factoraje archivan un gravamen durante el proceso de solicitud.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Dedicated Account Representative</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">We partner every customer with a single point of contact.</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Low Wire Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">We only charge $10 per wire - one of the lowest rates in the industry.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>
",,,,,English,,,,,,"Our approach to factoring is simple. We offer transparent pricing, no hidden fees, and outstanding customer service. ",28,wjorgensen,1549386400,,/lp/factoring-right-way,1,1,0,,,,,Webster,,Focus on customer service advantages
554,0,Landing Page,Save 25¢ per Gallon with Wex Fleet One and RTS,Save 25¢ per Gallon with Wex Fleet One and RTS,"<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-e9b35d8e43505dc90b5b5b9077cfa2fd contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>",,,,,English,,,,,,"Our members save an average of 25¢ per gallon at more than 2,000 fuel stations nationwide. Join more than 40,000 trucking companies and sign up today.",28,wjorgensen,1556047969,,/lp/fuel-card-fleet,1,1,0,,,,,,,
669,0,Landing Page,Save 12¢ per Gallon at 750+ Pilot Flying J Fuel Stations,Save 12¢ per Gallon at 750+ Pilot Flying J Fuel Stations,"As the largest operator of travel centers in North America, Pilot Flying J is committed to making life on the road for truck drivers as convenient as possible. The size of Pilot Flying J’s nationwide network ensures that RTS Carrier Services members have access to significant diesel discounts and outstanding amenities no matter where their trucks run.

<h2>Highlights of Our Pilot Flying J Fuel Card:</h2>

<ul class=""md-list"">
<li>Save 12¢ per gallon at 750+ Pilot Flying J locations</li>
<li>Credit lines up to $2,500 per truck, per week</li>
<li>Zero fees. No setup, monthly, or annual fees.</li>
<li>Mobile app to find stations and plan routes</li>
<li>PlusCheks you can cash at locations throughout our network</li>
<li>Free credit reports on more than 85,000 shippers and brokers</li>
</ul>",,,,,English,,,,,,"Better discounts and zero fees. No setup fees, no monthly fees, and no annual fees. Contact us and start saving today.",28,wjorgensen,1561693379,,/lp/pilot-flying-j-fuel-card,1,1,0,,,,,,,
759,0,Landing Page,Quick Pay Financing,Quick Pay Financing,"<h2>Highlights of Our Quick Pay and Factoring Services</h2>
<p>By focusing on our clients and their business needs, we have created a better carrier finance experience. We offer carriers both factoring or quick pay. Contact us to find out which option is best for your trucking company. Here is what you can expect when you work with RTS Financial:</p>
<ul class=""super-list"">
<li>Same-day funding</li>
<li>High quality freight from Ryan Transportation</li>
<li>25+ years of financing experience</li>
<li>Fuel card with credit lines and leading discounts</li>
<li>Online account access and easy uploading of documents</li>
<li>Scalable funding that grows with your company</li>
</ul>
",,,,,English,,,,,,"We partner with Ryan Transportation to offer you high quality freight, same-day quick pay with fast approval.",28,wjorgensen,1568170449,,/lp/quick-pay-financing,1,1,0,,,,,,,Quick Pay Landing Page
768,0,Landing Page,Average Savings of 25¢/Gallon with a Wex Fleet One Fuel Card,Average Savings of 25¢/Gallon with a Wex Fleet One Fuel Card,"<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-470f6c2a60922a5926ea40d030360664 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>",,,,,English,,,,,,"The Wex Fleet One card from RTS Carrier Services allows members to save on diesel fuel at more than 2,000 fuel stations nationwide.",28,wjorgensen,1570722345,,/lp/fuel-card-wex-fleet-one,1,1,0,,,,,,,
785,0,Landing Page,"Truckers Love Our Fuel Card. Save 25¢/Gallon at More Than 2,000 Locations","Truckers Love Our Fuel Card. Save 25¢/Gallon at More Than 2,000 Locations","<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-e2bcbd6dc590acce5086f2743277f235 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>",,,,,English,,,,,,"Join 40,000+ carriers in the fasting growing fuel card program in the trucking industry.",28,wjorgensen,1571707443,,/lp/truckers-love-our-fuel-card,1,1,0,,,,,,,
820,0,Landing Page,EFS Fuel Card,EFS Fuel Card,"<p>As the largest operator of travel centers in North America, Pilot Flying J is committed to making life on the road for truck drivers as convenient as possible. The size of Pilot Flying J’s nationwide network ensures that RTS Carrier Services members have access to significant diesel discounts and outstanding amenities no matter where their trucks run.</p>

<ul class=""md-list"">
	<li>Save an average 12¢ per gallon at 750 Pilot Flying J locations</li>
	<li>Credit lines up to $2,500 per truck, per week</li>
	<li>No hidden fees</li>
	<li>Mobile app to find stations and plan routes</li>
	<li>PlusCheks you can cash at locations throughout our network</li>
	<li>Free credit reports on more than 85,000 shippers and brokers</li>
</ul>

<p>Contact us today to learn more.</p>
",,,,,English,,,,,,Save 12¢ per gallon at 750 fuel stations with an EFS fuel card from RTS,28,wjorgensen,1576517842,,/lp/efs-fuel-card,1,1,0,,,,,,,
827,0,Landing Page,Proporcionando Dinero en Efectivo el Mismo Día a Empresas Camioneras Por Más de 25 Años,Proporcionando Dinero en Efectivo el Mismo Día a Empresas Camioneras Por Más de 25 Años,"<h2>Lo Más Destacado de Nuestros Servicios de Factoraje</h2>
<p>Al enfocarnos en nuestros clientes y sus necesidades empresariales, hemos creado una mejor experiencia de factoraje. Esto es lo que usted puede esperar cuando trabaja con RTS Financial:</p>

<ul>
<li>Financiamiento el mismo día</li>
<li>Más de 25 años de experiencia en factoraje</li>
<li>Tasas de anticipo competitivas</li>
<li>Cobros y análisis de crédito gratuitos</li>
<li>Tarjeta de combustible con líneas de crédito y descuentos importantes</li>
<li>Acceso a la cuenta en línea y fácil carga de documentos en línea</li>
<li>Financiamiento escalable que crece con su empresa</li>
</ul>",,,,,English,,,,,,"Nuestros servicios de factoraje ofrecen fondos el mismo día, tasas de anticipo competitivas y un ahorro promedio de 25 centavos por galón en las tarjetas de combustible.",28,wjorgensen,1578504003,,/lp/trucking-factoring-es,1,1,0,,,,,wjorgensen,,Factoring Trucking Spanish 
946,0,Landing Page,Significant Discounts at 150+ Speedway Fuel Stations,Significant Discounts at 150+ Speedway Fuel Stations,"<h2>Highlights of Our Speedway and Pilot Flying J Fuel Card Program</h2>

<ul class=""md-list"">
<li>Significant savings at 150+ Speedway fuel stations. Discounts vary depending on location.</li>
<li>Save 12¢ per gallon at 750+ Pilot Flying J locations</li>
<li>Credit lines up to $2,500 per truck, per week</li>
<li>Zero fees - No setup, monthly or annual fees</li>
<li>Exclusive mobile app to find stations and plan routes</li>
<li>PlusCheks you can cash at locations throughout our network</li>
<li>Free credit reports on more than 70,000 shippers and brokers</li>
</ul>",,,,,English,,,,,,"Better discounts, and zero fees. No setup fees, no monthly fees and no annual fees.",28,wjorgensen,1586958836,,/lp/speedway-fuel-card,0,0,0,,,,,,,
947,0,Landing Page,"Save An Average of 25¢ per Gallon at More Than 2,000 Fuel Stations","Save An Average of 25¢ per Gallon at More Than 2,000 Fuel Stations","<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-9f47d919468617b40edf800cf7e4e090 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>",,,,,English,,,,,,"Join 40,000+ carriers in the fasting growing fuel card program in the trucking industry. Contact us today.",28,wjorgensen,1586968897,,/lp/fuel-card-brand,1,1,0,,,,,,,Fuel landing page for brand keywords
1086,0,Landing Page,Speedway and One9 Fuel Network Discounts,Speedway and One9 Fuel Network Discounts,"Speedway and the One9 Fuel Network are committed to making life on the road for truck drivers as convenient as possible. The size of the nationwide network ensures that RTS members have access to significant diesel discounts and outstanding amenities no matter where their trucks run.

<h2>Highlights of Our Speedway, Pilot Flying J and One9 Fuel Network Discounts</h2>

<ul class=""md-list"">
<li>Significant savings at Speedway, One9 Network locations and Pilot Flying J.</li>
<li>Credit lines up to $2,500 per truck, per week.</li>
<li>Zero fees. No setup, monthly, or annual fees.</li>
<li>Mobile app to find stations and plan routes</li>
<li>PlusCheks you can cash at locations throughout our network.</li>
<li>Free credit reports on more than 70,000 shippers and brokers.</li>
</ul>",,,,,English,,,,,,"Substantial savings and zero fees. No setup fees, no monthly fees, and no annual fees. Contact us today and start saving.",28,wjorgensen,1588262304,,/lp/speedway,0,0,0,,,,,,,
1175,0,Landing Page,More Than 25 Years Providing Same-Day Cash for Trucking Companies,More Than 25 Years Providing Same-Day Cash for Trucking Companies,"<h2>Highlights of Our Factoring Services</h2>

<p>By focusing on our clients and their business needs, we created a better factoring experience. Here is what you can expect when you work with us:</p>

<ul class=""super-list"">
	<li>Same-day funding</li>
	<li>25+ years of factoring experience</li>
	<li>Competitive advance rates</li>
	<li>Free collections and credit analysis</li>
	<li>Online account access and easy uploading of documents</li>
	<li>Scalable funding that grows with your company</li>
	<li>Convenient mobile and web access</li>
</ul>
",,,,,English,,,,,,Our factoring services feature same-day funding & competitive advance rates.,28,wjorgensen,1596818067,,/lp/rtspro-factoring,1,1,0,,,,,,"factoring, rtspro",
1184,0,Landing Page,"Save an Average of 25¢ per Gallon at More Than 2,000 Fuel Stations","Save an Average of 25¢ per Gallon at More Than 2,000 Fuel Stations","<div class=""view view-fuel-features view-id-fuel_features view-display-id-default view-dom-id-bab969ef3ccb38676eeef951f0328e52 contextual-links-region"">
      <div class=""contextual-links-wrapper""><ul class=""contextual-links""><li class=""views-ui-edit first last""><a href=""/admin/structure/views/view/fuel_features/edit/default?destination=exportlandingpage"">Edit view</a></li></ul></div>  
  
  
      <div class=""view-content"">
        <div class=""views-row views-row-1 views-row-odd views-row-first"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Save 25¢ per Gallon</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Save an average of 25¢ per gallon at over 2,000 fuel stations.</div>  </div>  </div>
  <div class=""views-row views-row-2 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">More Than 2,000 Fuel Stations</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Find discounts at thousands of fuel stations, including Pilot Flying J, Sapp Bros., Casey's and more.</div>  </div>  </div>
  <div class=""views-row views-row-3 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">$2,500 Line of Credit</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get as much as $2,500 per truck, per week.</div>  </div>  </div>
  <div class=""views-row views-row-4 views-row-even"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">RTS Pro Mobile App</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Use our mobile app to find the lowest fuel prices along your route.</div>  </div>  </div>
  <div class=""views-row views-row-5 views-row-odd"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">Pilot Flying J Discounts</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">Get point-of-sale fuel discounts at more than 750 Pilot Flying J locations nationwide</div>  </div>  </div>
  <div class=""views-row views-row-6 views-row-even views-row-last"">
      
  <div class=""views-field views-field-title"">        <h3 class=""field-content display4"">No Annual Fees</h3>  </div>  
  <div class=""views-field views-field-field-description-60"">        <div class=""field-content gray"">There is no contract and you are not charged yearly card fees.</div>  </div>  </div>
    </div>
  
  
  
  
  
  
</div>
",,,,,English,,,,,,"Join 40,000+ trucking companies in the fastest growing fuel card program in the trucking industry. ",28,wjorgensen,1597331173,,/lp/rtspro-fuel,1,1,0,,,,,,"fuel, rtspro",
1187,0,Landing Page,Check Credit in RTS Pro Before Booking Your Next Load,Check Credit in RTS Pro Before Booking Your Next Load,"<p>Credit ratings are a valuable tool that help you weigh the risk of working with a specific broker or shipper. Knowing credit history and days-to-pay information can help you make an informed decision on who to work with. RTS Pro Credit offers quick, convenient access to credit data on over 85,000 brokers and shippers.</p>

<h2>What is included with RTS Pro Credit?</h2>

<ul>
	<li>Current days-to-pay information</li>
	<li>Credit scores using a simple, easy-to-understand rating system</li>
	<li>DOT and Authority information</li>
	<li>Brokers’ first activity and last activity</li>
	<li>‘Favorite’ feature to track the companies you work with regularly</li>
	<li>Convenient mobile and web access</li>
</ul>
",,,,,English,,,,,,Make informed decisions on whether to work with specific brokers and shippers.,28,wjorgensen,1597331955,,/lp/rtspro-credit,1,1,0,,,,,,"freight, rtspro",
1188,0,Landing Page,Communicate all the Trip Details with Your Drivers,Communicate all the Trip Details with Your Drivers,"<h2>Benefits of ProTransport Driver Trips:</h2>

<ul>
<li>View active, available and completed trips</li>
<li>Send trip documents and delivery receipts in real time</li>
<li>Instant communication between drivers and dispatchers</li>
</ul>
",,,,,English,,,,,,,28,wjorgensen,1597332093,,/lp/rtspro-trip-management,1,1,0,,,,,,"freight, rtspro",
